Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,Age,Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,0,0,0,26.6,998.0,5.0,1.75,14,maruti,wagon r lxi cng
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,1,0,0,30.685200000000005,1582.0,5.0,12.5,9,hyundai,creta 1.6 crdi sx option
Honda Jazz V,Chennai,2011,46000,2,0,0,28.392,1199.0,5.0,4.5,13,honda,jazz v
Maruti Ertiga VDI,Chennai,2012,87000,1,0,0,32.4012,1248.0,7.0,6.0,12,maruti,ertiga vdi
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,1,1,1,23.712,1968.0,5.0,17.74,11,audi,a4 new 2.0 tdi multitronic
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,3,0,0,21.1,814.0,5.0,2.35,12,hyundai,eon lpg era plus option
Nissan Micra Diesel XV,Jaipur,2013,86999,1,0,0,36.0048,1461.0,5.0,3.5,11,nissan,micra diesel xv
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,1,1,0,17.7216,2755.0,8.0,17.5,8,toyota,innova crysta 2.8 gx at 8s
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,1,0,0,32.0424,1598.0,5.0,5.2,11,volkswagen,vento diesel comfortline
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,1,0,1,34.788000000000004,1248.0,5.0,1.95,12,tata,indica vista quadrajet ls
Maruti Ciaz Zeta,Kochi,2018,25692,2,0,0,33.6336,1462.0,5.0,9.95,6,maruti,ciaz zeta
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,2,1,0,26.208,1497.0,5.0,4.49,12,honda,city 1.5 v at sunroof
Maruti Swift VDI BSIV,Jaipur,2015,64424,1,0,0,39.312,1248.0,5.0,5.6,9,maruti,swift vdi bsiv
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,1,1,0,19.812,2179.0,5.0,27.0,10,land,rover range rover 2.2l pure
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,1,1,1,19.3284,2179.0,5.0,17.5,12,land,rover freelander 2 td4 se
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,1,0,0,21.06,2477.0,7.0,15.0,10,mitsubishi,pajero sport 4x4
Honda Amaze S i-Dtech,Kochi,2016,58950,1,0,0,40.248000000000005,1498.0,5.0,5.4,8,honda,amaze s i-dtech
Maruti Swift DDiS VDI,Jaipur,2017,25000,1,0,0,44.304,1248.0,5.0,5.99,7,maruti,swift ddis vdi
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,1,0,0,31.902,1461.0,5.0,6.34,10,renault,duster 85ps diesel rxl plus
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,1,1,0,23.1504,2143.0,5.0,28.0,10,mercedes-benz,new c-class c 220 cdi be avantgare
BMW 3 Series 320d,Kochi,2014,32982,1,1,0,35.3964,1995.0,5.0,18.55,10,bmw,3 series 320d
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,1,0,1,36.894,1248.0,5.0,8.25,9,maruti,s cross ddis 200 alpha
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,2,1,0,21.1068,1984.0,5.0,23.5,9,audi,a6 2011-2015 35 tfsi technology
Hyundai i20 1.2 Magna,Kolkata,2010,45807,2,0,0,28.86,1197.0,5.0,1.87,14,hyundai,i20 1.2 magna
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,2,1,0,22.464,1598.0,5.0,2.85,14,volkswagen,vento petrol highline at
Honda City Corporate Edition,Mumbai,2012,51920,2,0,0,26.208,1497.0,5.0,4.25,12,honda,city corporate edition
Nissan Micra Diesel XV,Hyderabad,2012,54000,1,0,0,36.0048,1461.0,5.0,4.25,12,nissan,micra diesel xv
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,2,0,1,32.635200000000005,998.0,5.0,2.75,11,maruti,alto k10 2010-2014 vxi
Honda WRV i-VTEC VX,Kochi,2018,37430,2,0,0,27.3,1199.0,5.0,9.9,6,honda,wrv i-vtec vx
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,1,0,3,19.968000000000004,2494.0,7.0,4.0,17,toyota,innova 2.5 v diesel 7-seater
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,1,0,0,29.655600000000003,1461.0,5.0,7.75,11,renault,duster 110ps diesel rxz pack
Toyota Corolla Altis G,Delhi,2012,87615,2,0,0,22.6668,1798.0,5.0,6.75,12,toyota,corolla altis g
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,1,1,1,17.4408,2696.0,7.0,12.5,11,mahindra,ssangyong rexton rx7
Audi A6 2.7 TDI,Kolkata,2010,35000,1,1,0,19.344,2698.0,5.0,11.5,14,audi,a6 2.7 tdi
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,2,0,1,25.1004,1598.0,5.0,6.98,10,volkswagen,vento 1.6 highline
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,2,0,1,21.84,1061.0,5.0,1.85,15,maruti,wagon r lxi bsiii
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,1,0,0,37.908,1248.0,5.0,8.63,6,maruti,vitara brezza zdi plus
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,2,0,0,28.314,1198.0,5.0,4.85,7,mahindra,kuv 100 mfalcon g80 k6 5str aw
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,1,1,0,18.314400000000003,2987.0,5.0,28.0,11,mercedes-benz,m-class ml 350 cdi
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,1,0,0,34.4292,1199.0,5.0,5.0,11,volkswagen,polo diesel trendline 1.2l
Maruti Alto LXi,Delhi,2008,90000,2,0,1,30.732,796.0,5.0,1.25,16,maruti,alto lxi
Tata Nano LX SE,Kochi,2014,19698,2,0,0,39.624,624.0,4.0,1.53,10,tata,nano lx se
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,1,0,0,39.4992,1198.0,6.0,5.58,7,mahindra,kuv 100 mfalcon d75 k8 dual tone
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,2,0,0,28.86,1197.0,5.0,4.74,10,hyundai,i20 magna optional 1.2
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,2,1,0,22.8072,1999.0,5.0,8.85,10,hyundai,elantra 2.0 sx option at
Toyota Corolla Altis G AT,Mumbai,2016,52001,2,1,0,22.2768,1798.0,5.0,10.11,8,toyota,corolla altis g at
Hyundai Elantra CRDi,Ahmedabad,2008,58005,1,0,1,23.244,1991.0,5.0,4.25,16,hyundai,elantra crdi
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,2,0,0,17.55,2694.0,7.0,10.95,12,toyota,innova crysta 2.7 gx mt
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,1,0,0,38.064,1120.0,5.0,3.85,10,hyundai,xcent 1.1 crdi s
Mahindra Thar CRDe AC,Jaipur,2012,75800,1,0,1,25.818,2498.0,6.0,5.5,12,mahindra,thar crde ac
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,1,1,0,26.6916,1968.0,5.0,21.43,9,audi,a4 2.0 tdi 177 bhp premium plus
Maruti Swift LDI,Delhi,2014,52000,1,0,0,35.724,1248.0,5.0,4.25,10,maruti,swift ldi
Maruti Swift Ldi BSIV,Kolkata,2014,53000,1,0,0,27.768,1248.0,5.0,3.3,10,maruti,swift ldi bsiv
Maruti Swift VDI,Delhi,2013,65650,1,0,0,44.304,1248.0,5.0,3.85,11,maruti,swift vdi
Hyundai Grand i10 Sportz,Chennai,2015,54000,2,0,2,29.484,1197.0,5.0,3.6,9,hyundai,grand i10 sportz
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,2,0,0,23.4624,1598.0,5.0,3.99,9,volkswagen,vento 2013-2015 1.6 comfortline
Renault KWID RXT,Kochi,2017,16542,2,0,0,39.26520000000001,799.0,5.0,3.3,7,renault,kwid rxt
Hyundai i10 Asta,Kolkata,2010,32000,2,0,0,31.7616,1197.0,5.0,2.07,14,hyundai,i10 asta
